Row Labels,Count of ALL, , 
Akaka (D-HI),54,,
Akaka (D-HI),54,,
Alexander (R-TN),77,,
Ayotte (R-NH),77,,
Barrasso (R-WY),75,,
Baucus (D-MT),62,,
Begich (D-AK),61,,
Bennet (D-CO),65,,
Bingaman (D-NM),60,,
Blumenthal (D-CT),62,,
Blunt (R-MO),80,,
Boozman (R-AR),80,,
Boxer (D-CA),59,,
Brown (D-OH),60,,
Brown (R-MA),73,,
Burr (R-NC),74,,
Cantwell (D-WA),58,,
Cardin (D-MD),59,,
Carper (D-DE),65,,
Casey (D-PA),61,,
Chambliss (R-GA),76,,
Coats (R-IN),76,,
Coburn (R-OK),69,,
Cochran (R-MS),76,,
Collins (R-ME),70,,
Conrad (D-ND),60,,
Coons (D-DE),59,,
Corker (R-TN),76,,
Cornyn (R-TX),78,,
Crapo (R-ID),72,,
DeMint (R-SC),71,,
Durbin (D-IL),57,,
Ensign (R-NV),20,,
Enzi (R-WY),75,,
Feinstein (D-CA),58,,
Franken (D-MN),56,,
Gillibrand (D-NY),60,,
Graham (R-SC),79,,
Grassley (R-IA),75,,
Hagan (D-NC),59,,
Harkin (D-IA),51,,
Hatch (R-UT),73,,
Heller (R-NV),55,,
Hoeven (R-ND),80,,
Hutchison (R-TX),79,,
Inhofe (R-OK),72,,
Inouye (D-HI),47,,
Isakson (R-GA),80,,
Johanns (R-NE),82,,
Johnson (D-SD),63,,
Johnson (R-WI),75,,
Kerry (D-MA),57,,
Kirk (R-IL),73,,
Klobuchar (D-MN),65,,
Kohl (D-WI),57,,
Kyl (R-AZ),79,,
Landrieu (D-LA),57,,
Lautenberg (D-NJ),55,,
Leahy (D-VT),55,,
Lee (R-UT),68,,
Levin (D-MI),50,,
Lieberman (ID-CT),63,,
Lugar (R-IN),71,,
Manchin (D-WV),69,,
McCain (R-AZ),70,,
McCaskill (D-MO),68,,
McConnell (R-KY),80,,
Menendez (D-NJ),57,,
Merkley (D-OR),54,,
Mikulski (D-MD),57,,
Moran (R-KS),75,,
Murkowski (R-AK),80,,
Murray (D-WA),55,,
Nelson (D-FL),66,,
Nelson (D-NE),70,,
Paul (R-KY),61,,
Portman (R-OH),79,,
Pryor (D-AR),58,,
Reed (D-RI),54,,
Reid (D-NV),53,,
Risch (R-ID),71,,
Roberts (R-KS),77,,
Rockefeller (D-WV),54,,
Rubio (R-FL),71,,
Sanders (I-VT),46,,
Schumer (D-NY),58,,
Sessions (R-AL),77,,
Shaheen (D-NH),63,,
Shelby (R-AL),81,,
Snowe (R-ME),73,,
Stabenow (D-MI),58,,
Tester (D-MT),64,,
Thune (R-SD),78,,
Toomey (R-PA),77,,
Udall (D-CO),65,,
Udall (D-NM),57,,
Vitter (R-LA),79,,
Warner (D-VA),58,,
Webb (D-VA),55,,
Whitehouse (D-RI),55,,
Wicker (R-MS),81,,
Wyden (D-OR),59,,
